Description,ID,Latitude,Longitude,Route,Route,Route,Route,Route,Route,Route,Route,Route
Long Valley and Ranger Station Boulders,Wesco Boulder,33.8113,-116.642,Wesco Dildo Arete V7,,,,,,,,
Long Valley and Ranger Station Boulders,Satellite Boulder,33.8107,-116.6422,Whitey the Clown V5,Unnamed V0,Short Traverse V3,Long Traverse V4,Ultra Long Traverse V5,Unnamed V1,Drifting V3,Unnamed V3,
Long Valley and Ranger Station Boulders,Long Valley Ranger Station,33.8125,-116.6422,,,,,,,,,
Long Valley and Ranger Station Boulders,Chimney Rock,33.8136,-116.6423,Right Arete V1,Center Crack V0,Dyno Problem V2,Traverse V3,Highball Jugs V0,,,,
Long Valley and Ranger Station Boulders,Vanishing Point Boulder,33.8138,-116.6439,The Honey Pots V2,Snowblind V8,Vanishing Point V9,Flight of Osirus V6,,,,,
Long Valley and Ranger Station Boulders,Ranger Station Rock 1,33.8126,-116.6422,Ranger Rick's Big Send V6,Blind Hog V1,Fire Farts V0+,It's Another Route V0,Inside Moves .8,Dynamo Hum V0,The 19th Hole V4,The Crumby Route .7,Floyd E. Queeb V0
Long Valley and Ranger Station Boulders,Boulder Cluster,33.8132,-116.6481,Electric Dimension V1,Between Dimentions V3,Rising Force V4,Trilogy V3,Funky Toe'n V0,Don't Rock the Boat .8,Wandering Star V4,Irritable Bowel Syndrome V4,Yardarm of the Tram V1
Long Valley and Ranger Station Boulders,Re-Animator Boulder,33.8122,-116.6431,Unnamed V3/4,The Real Man's Problem V9,Slot Machine aka: Re-Animator V6,Nipple Shredder V5,"Unitizing the ""G"" V8",,,,
Long Valley and Ranger Station Boulders,Ranger Station Rock 3,33.8128,-116.6434,Unnamed V0,Unnamed V3,Trailside Tango V4,Just Another Trailside Attraction V4,Unnamed V1,,,,
Pleiades,Pleiades,33.8126,-116.6439,,,,,,,,,
Pleiades,Tuna Juice Boulders,33.8133,-116.6444,Tuna Juice V6,Starkist V6,Slam Dunk V3,,,,,,
