Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
"Rob's Seam","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997092/robs-seam,2.3,-1,Boulder,V4,1,15
"Don's Dyno (No. 3)","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106485906/dons-dyno-no-3,1.0,-1,Boulder,V4,1,15
"Tribe Called Conquest","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488319/tribe-called-conquest,4.0,-1,Boulder,"V5+ R",1,20
"Conquest Direct","Tribe Called Conquest Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997097/conquest-direct,2.0,-1,Boulder,"V7 R",1,20
"Standing on the Head of the Dragon","Dragon's Head > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997111/standing-on-the-head-of-the-dragon,3.5,-1,Boulder,V4,1,30
"Clawing at the Belly of the Beast","Dragon's Head > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111982776/clawing-at-the-belly-of-the-beast,1.0,-1,Boulder,V8,1,9
Treebeard,"Treebeard Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106485942/treebeard,1.0,-1,Boulder,V1,1,15
"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106884278/crouching-tiger-hidden-dragon,3.0,-1,Boulder,V7,1,15
"White Flight","White Flight Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674829/white-flight,3.7,-1,Boulder,"V3- PG13",1,20
"Shades of the Oldschool","Green Tea Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674913/shades-of-the-oldschool,3.6,-1,Boulder,"V2 R",1,25
"Green Tea Arête","Green Tea Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674918/green-tea-arete,3.0,-1,Boulder,V4,1,18
Chimney,"Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948791/chimney,1.5,-1,Boulder,V0+,1,
"Solitude (stand)","Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948769/solitude-stand,4.0,-1,Boulder,V7,1,13
Crack-Mantel-Sap,"Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948798/crack-mantel-sap,3.0,-1,Boulder,"V9 R",1,20
"Solitude sit","Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948785/solitude-sit,3.0,-1,Boulder,V10,1,13
"Unnamed Arete","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992782/unnamed-arete,1.5,-1,Boulder,V3,1,10
"Campus Problem","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992796/campus-problem,1.0,-1,Boulder,V3,1,8
"Nada III","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992801/nada-iii,2.0,-1,Boulder,V3,1,10
"The Wave","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992772/the-wave,2.0,-1,Boulder,V5,1,9
"The Rasp","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992792/the-rasp,1.0,-1,Boulder,V6,1,10
